"title","artist","youtube_link"
"Big Yellow Taxi","Counting Crows (original by Joni Mitchell)","https://m.youtube.com/watch?v=MbnrdCS57d0"
"Angel from Montgomery","John Prine/Bonnie Raitt","https://www.youtube.com/watch?v=gmfcYli6vV4"
"6’s to 9’s","Big Wild, Rationale","https://www.youtube.com/watch?v=tRcPA7Fzebw"
"One Headlight","The Wallflowers","https://www.youtube.com/watch?v=ff0oWESdmH0"
"California Dreamin","The mamas and the papas","https://www.youtube.com/watch?v=FH7aCVokAIo"
"Walking in Memphis","Marc Cohn","https://www.youtube.com/watch?v=BfrUQA2tb6M"
"If you could read my mind","Gordon lightfoot","https://youtu.be/ABXtWqmArUU"
"Sleepyhead","Passion Pit","https://www.youtube.com/watch?v=ltH3rI-G4n8"
"With Arms Wide Open","Creed","https://www.youtube.com/watch?v=BK30r_SIZ-g"
"Fat Lip","Sum 41","https://youtu.be/0YtYMzh8lxk"
"Into You","Ariana Grande","https://youtu.be/WQk0xTwZumo"
"(Every time I turn around) Back in Love Again","L.T.D.","https://youtu.be/9S-Xdm2xt9M"
"I Love Rock 'n' Roll","Joan Jett","https://www.youtube.com/watch?v=sn3cHUtNZKo"
"With Or Without You","U2","https://youtu.be/Arz7qr4saZM"
"Better off Alone","Alice Deejay","https://youtu.be/4whD6uAryMs"
"Bad Guy","Billie Eilish","https://youtu.be/szi1iIkhV2E"
"Black Balloon","Goo Goo Dolls","https://www.youtube.com/watch?v=0EVVKs6DQLo"
"The Less I Know The Better","Take Impala","https://www.youtube.com/watch?v=TKL8Sq14MiQ"
"labour","Paris Paloma","https://youtube.com/watch?v=BJk6gZuPKRE&feature=share"
"Her and i","King gizzard and the lizard wizard","https://www.youtube.com/watch?v=ek2PDE1cAyY"